SampleID	Group	ID	DI_bsl	DI_4M	delta	DI_group_3SEM	delta_group_3SEM
20006859	TS_T	20006859_ts_t	20.00	5.26	-14.74	poor	poor
20006860	WT_T	20006860_wt_t	33.33	0	-33.33333333	poor	poor
20006861	WT_T	20006861_wt_t	-25.00	23.08	48.08	intermediate	good
180055640	WT_T	180055640_wt_t	-15.00	-7.14	7.86	poor	intermediate
180058459	TS_T	180058459_ts_t	19.05	-52.94	-71.98761905	poor	poor
180058460	WT_T	180058460_wt_t	48.57	11.11	-37.46142857	intermediate	poor
180060240	WT_T	180060240_wt_t	30.43	46.67	16.23521739	good	intermediate
180060241	WT_T	180060241_wt_t	41.94	40	-1.935483871	good	poor
180060242	WT_T	180060242_wt_t	11.11	25	13.88888889	intermediate	intermediate
180061596	WT_T	180061596_wt_t	55.56	23.08	-32.47555556	intermediate	poor
190017324	TS_T	190017324_ts_t	3.70	25	21.2962963	intermediate	intermediate
190017325	WT_T	190017325_wt_t	-32.00	40.54	72.54	good	good
190017735	WT_T	190017735_wt_t	19.15	-23.08	-42.22893617	poor	poor
190017738	WT_T	190017738_wt_t	38.89	71.43	32.54111111	good	good
190017740	WT_T	190017740_wt_t	0.00	33.33	33.33	good	good
190017764	WT_T	190017764_wt_t	36.84	-33.33	-70.17	poor	poor
190017768	TS_T	190017768_ts_t	-21.74	71.43	93.16913043	good	good
190017769	TS_T	190017769_ts_t	-20.00	40	60	good	good
190021820	WT_T	190021820_wt_t	39.13	69.23	30.09956522	good	good
190021821	WT_T	190021821_wt_t	0.00	23.08	23.08	intermediate	intermediate
190022697	WT_T	190022697_wt_t	20.00	14.29	-5.71	intermediate	poor
190022706	TS_T	190022706_ts_t	-53.85	25	78.84615385	intermediate	good
200014637	TS_T	200014637_ts_t	-27.27	66.67	93.94272727	good	good
200014638	TS_T	200014638_ts_t	12.50	20	7.5	intermediate	intermediate
200014639	WT_T	200014639_wt_t	20.00	39.13	19.13	good	intermediate
200032616	TS_NT	200032616_ts_nt	-15.79	-33.33	-17.54052632	poor	poor
200036216	WT_NT	200036216_wt_nt	28.57	77.78	49.20857143	good	good
200039067	TS_NT	200039067_ts_nt	21.21	-100	-121.2121212	poor	poor
200040007	TS_NT	200040007_ts_nt	-100.00	-71.43	28.57	poor	intermediate
200040008	TS_NT	200040008_ts_nt	-23.08	50	73.07692308	good	good
200044039	WT_NT	200044039_wt_nt	4.00	42.86	38.86	good	good
200044040	WT_NT	200044040_wt_nt	0.00	42.86	42.86	good	good
200044041	WT_NT	200044041_wt_nt	60.00	42.86	-17.14	good	poor
200044042	TS_NT	200044042_ts_nt	-39.13	-14.29	24.84043478	poor	intermediate
200044043	TS_NT	200044043_ts_nt	-15.38	-35.71	-20.32538462	poor	poor
200046064	WT_NT	200046064_wt_nt	35.48	57.14	21.65612903	good	intermediate
200046065	TS_NT	200046065_ts_nt	11.11	-42.86	-53.97111111	poor	poor
200047151	TS_T	200047151_ts_t	0.00	20	20	intermediate	intermediate
200047153	TS_T	200047153_ts_t	15.15	7.69	-7.461515152	intermediate	poor
200047368	TS_T	200047368_ts_t	-15.00	26.32	41.32	intermediate	good
200048165	TS_T	200048165_ts_t	-5.26	100	105.2631579	good	good
200048166	TS_T	200048166_ts_t	-7.69	14.29	21.98230769	intermediate	intermediate
200054524	TS_NT	200054524_ts_nt	-40.00	0	40	poor	good
200054525	TS_NT	200054525_ts_nt	-75.00	0	75	poor	good
200054526	WT_NT	200054526_wt_nt	16.67	11.11	-5.556666667	intermediate	poor
200054527	WT_NT	200054527_wt_nt	18.18	17.65	-0.531818182	intermediate	poor
200058403	WT_NT	200058403_wt_nt	6.67	-9.09	-15.75666667	poor	poor
200059146	WT_NT	200059146_wt_nt	25.00	100	75	good	good
							
							
