Gene.name	log2FoldChange
1700010I14Rik	Up
2810407A14Rik	Up
4930467D21Rik	Up
4932438H23Rik	Up
6530403H02Rik	Up
Abhd14b	Up
Adamts1	Up
Adamts5	Up
Angptl4	Up
App	Up
B3galt5	Up
Bace2	Up
BC067074	Up
Bche	Up
BE949265	Up
Bfsp2	Up
Bst2	Up
C730002L08Rik	Up
Capn6	Up
Capza1	Up
Car14	Up
Ccdc113	Up
Ccdc157	Up
Ccdc18	Up
Cfap52	Up
Chaf1b	Up
Chia1	Up
Chordc1	Up
Clic6	Up
Cln5	Up
Cpn1	Up
Cpsf6	Up
Ctss	Up
Cyb5r1	Up
Dlx6os1	Up
Dtx3l	Up
Ets2	Up
Ezr	Up
Fam161a	Up
Fdft1	Up
Gm10698	Up
Gm15310	Up
Gm1604a	Up
Gm17518	Up
Gm20939	Up
Gm34567	Up
Gm6316	Up
Gpld1	Up
Gsn	Up
H2ac19	Up
H2ac20	Up
Hacd4	Up
Htr3a	Up
Ifi44	Up
Igfn1	Up
Itga7	Up
Itk	Up
Lgals3	Up
LOC102635948	Up
LOC115486418	Up
Lonp2	Up
Lrriq1	Up
Ly6e	Up
Mapk3	Up
Mfsd7a	Up
Mia	Up
Mrps25	Up
Mtfr1	Up
Ndufaf6	Up
Nnmt	Up
Npr1	Up
Nt5dc2	Up
Olig2	Up
Ostf1	Up
Pck2	Up
Pcolce2	Up
Plbd1	Up
Plcl2	Up
Plpp1	Up
Plscr2	Up
Prdm15	Up
R3hcc1l	Up
Rab38	Up
Retreg1	Up
Rgs12	Up
Rorc	Up
Samd9l	Up
Sbspon	Up
Sec24d	Up
Slc12a4	Up
Slc15a4	Up
Slc16a6	Up
Slc22a5	Up
Slc25a20	Up
Slc27a3	Up
Slc39a4	Up
Smim5	Up
Sowahc	Up
Sytl3	Up
Them4	Up
Tiam2	Up
Tmed5	Up
Tmem159	Up
Tmem179b	Up
Tmem41b	Up
Tuba8	Up
Tuft1	Up
Ucma	Up
Ugdh	Up
Zbtb21	Up
Zfp605	Up
Zpld1	Up
1700001O22Rik	Down
2410018L13Rik	Down
4831440E17Rik	Down
Acan	Down
Adamts3	Down
Alpk1	Down
Arpin	Down
Btbd8	Down
Ccdc9	Down
Cebpd	Down
Coq2	Down
Coro1c	Down
Dach1	Down
Dbp	Down
Deaf1	Down
Dipk2a	Down
Dnah1	Down
Doc2a	Down
Epha10	Down
Epha7	Down
Fam50a	Down
Fbl	Down
Gak	Down
Gatc	Down
Gclc	Down
Gm15446	Down
Gm16938	Down
Gm17202	Down
Gm2061	Down
Gm36855	Down
Gon4l	Down
Gstm7	Down
Hba-a2	Down
Hfm1	Down
Hsd17b11	Down
Isoc2b	Down
Kalrn	Down
Kcnab3	Down
Kcnh3	Down
Kifc3	Down
Lct	Down
Lgr6	Down
LOC102632463	Down
Lrba	Down
Med13l	Down
Mfsd3	Down
Mfsd4a	Down
Mxd4	Down
Neurod2	Down
Parn	Down
Particl	Down
Pcdhb2	Down
Pcdhb4	Down
Pcdhga11	Down
Pik3r3	Down
Pim3	Down
Pkd2	Down
Plcxd1	Down
Rbm3	Down
Rfx5	Down
Rhbdl3	Down
Rsad1	Down
Scn4b	Down
Sdad1	Down
Sephs2	Down
Shfl	Down
Sox12	Down
Syt2	Down
Thbs4	Down
Tmem271	Down
Wars2	Down
Wfs1	Down
Xpa	Down
Zfp33b	Down
Zscan21	Down
